Epoch 88: PSNR=21.4496, SSIM=0.7763, Loss=0.1123
Epoch 89: PSNR=21.4305, SSIM=0.7761, Loss=0.1122
Epoch 90: PSNR=21.5239, SSIM=0.7768, Loss=0.1123
Epoch 91: PSNR=21.3140, SSIM=0.7757, Loss=0.1127
Epoch 92: PSNR=21.2186, SSIM=0.7752, Loss=0.1138
Epoch 93: PSNR=21.3778, SSIM=0.7760, Loss=0.1142
Epoch 94: PSNR=21.3224, SSIM=0.7757, Loss=0.1156
Epoch 95: PSNR=21.3992, SSIM=0.7761, Loss=0.1159
Epoch 96: PSNR=21.3689, SSIM=0.7760, Loss=0.1162
Epoch 97: PSNR=21.3747, SSIM=0.7761, Loss=0.1167
Epoch 98: PSNR=21.3536, SSIM=0.7759, Loss=0.1182
Epoch 99: PSNR=21.3535, SSIM=0.7759, Loss=0.1181
